samplename	originalsamplename	sitename	country	longitude	latitude	elevation	locationreliability	locationnotes	areaofsite	samplecontext	sitedescription	vegdescription	sampletype	samplemethod	agebp	ageuncertainty	ispercent	notes	okexcept	empd_version
Barboni_a499	BE_NEV9	NEV9	Spain	-3.35	37.118889	1405	C						moss				f			EMPD2
Barboni_a5	201	Bulgb37	Bulgaria	27.11	44.08	200											f			EMPD2
Barboni_a50	2448	IT44	Italy	15.67	40.25	510											f			EMPD2
Barboni_a500	BE_NEVA	NEVA	Spain	-3.35	37.118889	1360	C						moss				f			EMPD2
Barboni_a501	BE_NEVB	NEVB	Spain	-3.367222	37.118889	1320	C						moss				f			EMPD2
Barboni_a502	BE_RON1	RON1	Spain	-5.367222	36.768889	1357	C						moss				f			EMPD2
Barboni_a503	BE_RON2	RON2	Spain	-5.318889	36.75	770	C						moss				f			EMPD2
Barboni_a504	BE_RON3	RON3	Spain	-5.267222	36.768889	740	C						moss				f			EMPD2
Barboni_a505	BE_RON4	RON4	Spain	-5.25	36.768889	660	C						moss				f			EMPD2
Barboni_a506	BE_RON5	RON5	Spain	-5.168889	36.817222	1160	C						moss				f			EMPD2
Barboni_a507	BE_RON6	RON6	Spain	-4.967222	36.7	1400	C						moss				f			EMPD2
Barboni_a508	BE_RON7	RON7	Spain	-4.968889	36.668889	1140	C						moss				f			EMPD2
Barboni_a509	BE_RON8	RON8	Spain	-5.068889	36.667222	1075	C						moss				f			EMPD2
Barboni_a51	2449	IT45	Italy	15.65	40.25	550											f			EMPD2
Barboni_a510	BE_SAN1	SAN1	Spain	-3.968889	43.418889	20	C						moss				f			EMPD2
Barboni_a511	BE_SAN2	SAN2	Spain	-3.95	43.418889	40	C						moss				f			EMPD2
Barboni_a512	BE_SAN3	SAN3	Spain	-3.617222	43.4	150	C						moss				f			EMPD2
Barboni_a714	Bulga17	Bulga17	Bulgaria	31.118889	42.885556	0											f		Country,Precipitation,Temperature,	EMPD2
Barboni_a764	Demi_Gol___1	Demiryurt Golu	Turkey	37.383333	39.733333	1491.76											f			EMPD2
Barboni_a513	BO_G001	G001	Greece	22.709722	40.515278	0	C						soil				f	No coordinates reported in ref paper. Point placed according to Fig. 2 and description in ref paper. Position really uncertain.		EMPD2
Barboni_a514	BO_G002	G002	Greece	22.709167	40.516944	0	C						soil				f	No coordinates reported in ref paper. Point placed according to Fig. 2 and description in ref paper. Position really uncertain.		EMPD2
Barboni_a515	BO_G003	G003	Greece	22.708333	40.519167	0	C						soil				f	No coordinates reported in ref paper. Point placed according to Fig. 2 and description in ref paper. Position really uncertain.		EMPD2
Barboni_a516	BO_G004	G004	Greece	22.710556	40.519167	0	C						soil				f	No coordinates reported in ref paper. Point placed according to Fig. 2 and description in ref paper. Position really uncertain.		EMPD2
Barboni_a517	BO_G005	G005	Greece	22.710278	40.535833	0	C						soil				f	No coordinates reported in ref paper. Point placed according to Fig. 2 and description in ref paper. Position really uncertain.		EMPD2
Barboni_a518	BO_G006	G006	Greece	22.708889	40.556667	0	C						soil				f	No coordinates reported in ref paper. Point placed according to Fig. 2 and description in ref paper. Position really uncertain.		EMPD2
Barboni_a519	BO_G007	G007	Greece	22.710278	40.591667	0	C						soil				f	No coordinates reported in ref paper. Point placed according to Fig. 2 and description in ref paper. Position really uncertain.		EMPD2
Barboni_a52	2450	IT46	Italy	15.6	40.32	510											f			EMPD2
Barboni_a520	BO_G008	G008	Greece	22.644444	40.731667	6	C						moss				f	No coordinates reported in ref paper. Point placed according to Fig. 2 and description in ref paper. Position really uncertain.Elevation reported in ref paper probably wrong: no point with that elevation (100m) found W of river Axios (see Fig.2 in ref paper).		EMPD2
Barboni_a521	BO_G009	G009	Greece	22.537222	40.735833	3	C						moss				f	No coordinates reported in ref paper. Point placed according to Fig. 2 and description in ref paper. Position really uncertain.Elevation reported in ref paper (-100m) probably wrong.		EMPD2
Barboni_a522	BO_G010	G010	Greece	22.469167	40.753333	6	C						moss				f	No coordinates reported in ref paper. Point placed according to Fig. 2 and description in ref paper. Position really uncertain.Elevation reported in ref paper (-100m) probably wrong.		EMPD2
Barboni_a523	BO_G011	G011	Greece	22.398611	40.751667	1	C						litter				f	No coordinates reported in ref paper. Point placed according to Fig. 2 and description in ref paper. Position really uncertain.Elevation reported in ref paper (-100m) probably wrong.		EMPD2
Barboni_a524	BO_G012	G012	Greece	22.308889	40.673056	2	C						moss				f	No coordinates reported in ref paper. Point placed according to Fig. 2 and description in ref paper. Position really uncertain.Elevation reported in ref paper (-100m) probably wrong.		EMPD2
Barboni_a525	BO_G013	G013	Greece	22.625833	40.883056	20	C						moss				f	No coordinates reported in ref paper. Point placed according to Fig. 2 and description in ref paper. Position really uncertain.Elevation reported in ref paper (100m) probably wrong.		EMPD2
Barboni_a526	BO_G014	G014	Greece	22.628611	40.878611	20	C						soil				f	No coordinates reported in ref paper. Point placed according to Fig. 2 and description in ref paper. Position really uncertain.Elevation reported in ref paper (100m) probably wrong.		EMPD2
Barboni_a527	BO_G015	G015	Greece	22.632778	40.876111	22	C						soil				f	No coordinates reported in ref paper. Point placed according to Fig. 2 and description in ref paper. Position really uncertain.Elevation reported in ref paper (100m) probably wrong.		EMPD2
Barboni_a528	BO_G016	G016	Greece	22.634444	40.870833	20	C						litter				f	No coordinates reported in ref paper. Point placed according to Fig. 2 and description in ref paper. Position really uncertain.Elevation reported in ref paper (100m) probably wrong.		EMPD2
Barboni_a529	BO_G017	G017	Greece	22.1	40.626944	173	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a53	2451	IT47	Italy	15.6	40.32	510											f			EMPD2
Barboni_a530	BO_G018	G018	Greece	22.070556	40.611944	414	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a531	BO_G019	G019	Greece	22.069444	40.598333	507	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a532	BO_G020	G020	Greece	22.065278	40.59	657	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a533	BO_G021	G021	Greece	22.056667	40.576667	1010	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a534	BO_G022	G022	Greece	22.050278	40.566667	1206	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a535	BO_G023	G023	Greece	22.048056	40.546389	1407	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a536	BO_G024	G024	Greece	22.040556	40.521944	1504	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a537	BO_G025	G025	Greece	22.033889	40.512778	1603	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a538	BO_G026	G026	Greece	22.145	40.546111	400	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a539	BO_G027	G027	Greece	22.125	40.546389	602	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a54	2452	IT48	Italy	15.6	40.32	510											f			EMPD2
Barboni_a622	BO_SY02	SY02	Syrian Arab Republic	40.38	34.89	245	C						soil				f	coordinates not available. Point placed on the map according to description and picture in reference paper.		EMPD2
Barboni_a540	BO_G028	G028	Greece	22.158611	40.545	329	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a541	BO_G029	G029	Greece	22.185	40.536667	252	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a542	BO_G030	G030	Greece	22.285833	40.398611	1000	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a543	BO_G031	G031	Greece	22.266667	40.415833	1009	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a544	BO_G032	G032	Greece	22.2475	40.421667	802	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a545	BO_G033	G033	Greece	22.245833	40.4425	652	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a546	BO_G034	G034	Greece	22.255556	40.464167	402	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a547	BO_G035	G035	Greece	21.727222	40.79	900	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a548	BO_G036	G036	Greece	21.777222	40.8125	654	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a549	BO_G037	G037	Greece	21.894722	40.78	596	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a55	2453	IT49	Italy	15.55	40.32	640											f			EMPD2
Barboni_a550	BO_G038	G038	Greece	21.927222	40.786667	554	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a551	BO_G039	G039	Greece	21.986944	40.811944	548	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a552	BO_G040	G040	Greece	22.1475	40.618611	66	C						moss				f	No coordinates reported in ref paper. Point placed according to Fig. 2 and description in ref paper. Position really uncertain.Elevation reported in ref paper (-200m) probably wrong.		EMPD2
Barboni_a553	BO_G041	G041	Greece	22.199167	40.623611	29	C						moss				f	No coordinates reported in ref paper. Point placed according to Fig. 2 and description in ref paper. Position really uncertain.Elevation reported in ref paper (-200m) probably wrong.		EMPD2
Barboni_a554	BO_G042	G042	Greece	22.241389	40.657222	6	C						moss				f	No coordinates reported in ref paper. Point placed according to Fig. 2 and description in ref paper. Position really uncertain.Elevation reported in ref paper (-100m) probably wrong.		EMPD2
Barboni_a555	BO_G043	G043	Greece	22.176389	40.481389	452	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a556	BO_G044	G044	Greece	22.1525	40.440278	613	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a557	BO_G045	G045	Greece	22.131667	40.408889	905	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a558	BO_G046	G046	Greece	22.093889	40.399444	1210	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a559	BO_G047	G047	Greece	22.063333	40.377222	1006	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a56	2454	IT50	Italy	15.55	40.32	640											f			EMPD2
Barboni_a560	BO_G048	G048	Greece	22.113611	40.39	1103	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a561	BO_G049	G049	Greece	21.9675	40.375278	700	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a562	BO_G050	G050	Greece	21.864722	40.370556	651	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a563	BO_G052	G052	Greece	21.61	40.245556	710	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a564	BO_G053	G053	Greece	21.485278	40.284167	604	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a565	BO_G054	G054	Greece	21.464722	40.36	700	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a566	BO_G056	G056	Greece	21.544722	40.661389	802	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a567	BO_G057	G057	Greece	21.492222	40.598889	806	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a710	Bulga12	Bulga12	Bulgaria	28.485278	42.200833	0											f		Country,Precipitation,Temperature,	EMPD2
Barboni_a568	BO_G058	G058	Greece	21.493889	40.570833	1053	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a569	BO_G059	G059	Greece	21.489167	40.532222	1109	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a57	2470	IT66	Italy	7.68	44.15	1905											f			EMPD2
Barboni_a570	BO_G060	G060	Greece	21.408333	40.529722	701	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a571	BO_G061	G061	Greece	21.385278	40.508889	704	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a572	BO_G062	G062	Greece	21.353333	40.5	711	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a573	BO_G063	G063	Greece	21.329167	40.547222	628	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2 and description (marshy meadows) in ref paper. Placement really uncertain.		EMPD2
Barboni_a574	BO_G064	G064	Greece	21.2825	40.763056	1522	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a575	BO_G065	G065	Greece	21.275	40.776944	1408	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a576	BO_G066	G066	Greece	21.238333	40.788056	1357	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a577	BO_G067	G067	Greece	21.217222	40.774722	1207	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a578	BO_G068	G068	Greece	21.208889	40.759444	1101	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a579	BO_G069	G069	Greece	21.188611	40.708889	1004	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a58	2471	IT67	France	7.6	44.14	2080	C										f	Elevation incorrect by ~70m. No site name. Not in Bordon database. Not enough information to update coordinates.		EMPD2
Barboni_a580	BO_G070	G070	Greece	21.180278	40.653056	831	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a581	BO_G071	G071	Greece	21.1775	40.645278	825	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a582	BO_G072	G072	Greece	21.192222	40.591667	770	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a583	BO_G073	G073	Greece	21.444722	40.26	652	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a584	BO_G074	G074	Greece	21.446111	40.131389	602	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a585	BO_G075	G075	Greece	21.493333	40.018333	702	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a586	BO_G076	G076	Greece	21.501944	39.955	700	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a587	BO_G077	G077	Greece	21.516667	39.898333	709	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a588	BO_G078	G078	Greece	21.5425	39.8475	601	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a589	BO_G079	G079	Greece	21.215556	39.726667	1364	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a59	2873	MC10	France	4.3	45	1000	C										f	No site name. Not enough information to check coordinates. Not in Bordon database.		EMPD2
Barboni_a590	BO_G080	G080	Greece	21.291944	39.684167	1557	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a591	BO_G081	G081	Greece	21.266944	39.721667	1456	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a592	BO_G082	G082	Greece	21.188889	39.725	1310	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a593	BO_G083	G083	Greece	21.185278	39.754444	1225	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a594	BO_G084	G084	Greece	21.038056	39.735833	803	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a711	Bulga13	Bulga13	Bulgaria	30.249722	43.739167	0											f		Country,Precipitation,Temperature,	EMPD2
Barboni_a595	BO_G085	G085	Greece	21.118056	39.751944	912	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a596	BO_G086	G086	Greece	21.1575	39.763333	1309	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a597	BO_G087	G087	Greece	21.165	39.7925	1404	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a598	BO_G088	G088	Greece	21.228889	39.8	1655	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a599	BO_G089	G089	Greece	21.3	39.804167	1200	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a6	202	Bulgb38	Bulgaria	27.11	44.08	200											f			EMPD2
Barboni_a60	2874	MC11	France	5.3	44.87	1350	C										f	Elevation incorrect. No site name. Coordinates unchanged. Not in Bordon database.		EMPD2
Barboni_a600	BO_G090	G090	Greece	21.328056	39.806667	801	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a601	BO_G091	G091	Greece	21.450833	39.783889	1110	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a602	BO_G092	G092	Greece	21.475	39.767222	1008	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a603	BO_G093	G093	Greece	21.555833	39.74	302	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a604	BO_G094	G094	Greece	20.852778	39.504444	608	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a605	BO_G095	G095	Greece	20.861944	39.492778	502	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a606	BO_G096	G096	Greece	20.763056	39.706667	603	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a607	BO_G097	G097	Greece	20.665556	39.745278	607	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a608	BO_G098	G098	Greece	20.621944	39.751389	252	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a609	BO_G099	G099	Greece	20.606111	39.682778	252	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a61	2875	MC26	France	4.3	45.05	1040	C										f	No site name. Not enough information to check coordinates. Not in Bordon database.		EMPD2
Barboni_a610	BO_G100	G100	Greece	20.554722	39.611944	308	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a611	BO_G101	G101	Greece	20.536389	39.591944	607	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a612	BO_G102	G102	Greece	20.536111	39.5725	712	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a613	BO_G103	G103	Greece	20.473611	39.535278	300	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a614	BO_G104	G104	Greece	20.328056	39.535556	302	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a615	BO_G105	G105	Greece	20.389722	39.496111	308	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a616	BO_G106	G106	Greece	20.453056	39.52	301	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a617	BO_G107	G107	Greece	21.005833	39.722778	703	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a618	BO_G108	G108	Greece	20.973611	39.701667	612	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a619	BO_G109	G109	Greece	20.937222	39.678056	909	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a62	2876	MC54	France	5.25	44.87	1000	C						moss				f	Elevation incorrect by 300m. Contact author (Reille) or source (Peyron).		EMPD2
Barboni_a620	BO_G110	G110	Greece	20.776111	39.757778	500	C						moss				f	No coordinates reported in ref paper. Point placed trying to match position in Fig.2, elevation and description in ref paper. Placement really uncertain.		EMPD2
Barboni_a621	BO_SY01	SY01	Syrian Arab Republic	40.26	34.72	240	C						soil				f	coordinates not available. Point placed on the map according to description and picture in reference paper.		EMPD2
Seppa_p1	L14	Lith-14	Lithuania	24.28	54.38	178											f			EMPD2
Barboni_a623	BO_SY03	SY03	Syrian Arab Republic	40.39	35.07	230	C						soil				f	coordinates not available. Point placed on the map according to description and picture in reference paper.		EMPD2
Barboni_a624	BO_SY04	SY04	Syrian Arab Republic	40.595833	35.493056	225	C						soil				f	coordinates not available. Point placed on the map according to description and picture in reference paper.		EMPD2
Barboni_a625	BO_SY05	SY05	Syrian Arab Republic	40.57	35.49	225	C						soil				f	coordinates not available. Point placed on the map according to description and picture in reference paper.		EMPD2
Barboni_a626	BO_SY06	SY06	Syrian Arab Republic	40.298056	35.416111	230	C						moss				f	coordinates not available. Point placed on the map according to description and picture in reference paper.		EMPD2
Barboni_a627	BO_SY07	SY07	Syrian Arab Republic	38.54	34.91	1150	C						moss				f	coordinates not available. Point placed on the map according to description and picture in reference paper.		EMPD2
Barboni_a628	BO_SY08	SY08	Syrian Arab Republic	38.23	34.47	500	C						soil				f	coordinates not available. Point placed on the map according to description and picture in reference paper.		EMPD2
Barboni_a629	BO_SY09	SY09	Syrian Arab Republic	37.97	34.5	500	C						soil				f	coordinates not available. Point placed on the map according to description and picture in reference paper.		EMPD2
Barboni_a63	2877	MC55	France	9.07	41.57	1250											f			EMPD2
Barboni_a630	BO_SY10	SY10	Syrian Arab Republic	37.306111	34.580556	650	C						soil				f	coordinates not available. Point placed on the map according to description and picture in reference paper.		EMPD2
Barboni_a631	BO_SY11	SY11	Syrian Arab Republic	36.886944	34.646111	650	C						moss				f	coordinates not available. Point placed on the map according to description and picture in reference paper.		EMPD2
Barboni_a632	BO_SY12	SY12	Syrian Arab Republic	37.71	34.42	530	C						soil				f	coordinates not available. Point placed on the map according to description and picture in reference paper.		EMPD2
Barboni_a633	BO_SY13	SY13	Syrian Arab Republic	37.42	34.32	600	C						tussock				f	coordinates not available. Point placed on the map according to description and picture in reference paper.		EMPD2
Barboni_a634	BO_SY14	SY14	Syrian Arab Republic	37.198333	34.187778	750	C						soil				f	coordinates not available. Point placed on the map according to description and picture in reference paper.		EMPD2
Barboni_a635	BO_SY15	SY15	Syrian Arab Republic	36.96	34	825	C						soil				f	coordinates not available. Point placed on the map according to description and picture in reference paper.		EMPD2
Barboni_a636	BO_SY16	SY16	Syrian Arab Republic	36.850278	33.904444	800	C						soil				f	coordinates not available. Point placed on the map according to description and picture in reference paper.		EMPD2
Barboni_a637	BO_SY17	SY17	Syrian Arab Republic	36.755	33.829444	800	C						moss				f	coordinates not available. Point placed on the map according to description and picture in reference paper.		EMPD2
Barboni_a638	BO_SY18	SY18	Syrian Arab Republic	36.6775	33.74	900	C						moss				f	coordinates not available. Point placed on the map according to description and picture in reference paper.		EMPD2
Barboni_a639	BO_SY19	SY19	Syrian Arab Republic	36.594722	33.803056	1100	C						moss				f	coordinates not available. Point placed on the map according to description and picture in reference paper.		EMPD2
Barboni_a64	2878	MC56	France	9.66	42.5	1720											f		Country,Precipitation,Temperature,	EMPD2
